title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
Sách - Ngày tận thế: Lời tiên tri về tương lai và thế giới (Nhã Nam HCM),154.980 ₫,https://www.lazada.vn/products/sach-ngay-tan-the-loi-tien-tri-ve-tuong-lai-va-the-gioi-nha-nam-hcm-i2473077378.html,1,1,18% Off,Hồ Chí Minh,lazada,book,1,Official
Sách Muốn Thành Công Nói Không Với Trì Hoãn: 21 Nguyên Tắc Vàng Đập Tan Sự Trì Hoãn - BIZBOOKS,72.000 ₫,https://www.lazada.vn/products/sach-muon-thanh-cong-noi-khong-voi-tri-hoan-21-nguyen-tac-vang-dap-tan-su-tri-hoan-bizbooks-i1828128999.html,2,2,25% Off,"39 Đã bán
(6)
Hà Nội",lazada,book,2,Official
"Sách - Fly me to the moon tập 1 - Tóm lại là em dễ thương, được chưa (tập 1)",50.000 ₫,https://www.lazada.vn/products/sach-fly-me-to-the-moon-tap-1-tom-lai-la-em-de-thuong-duoc-chua-tap-1-i1922196783.html,3,3,9% Off,"93 Đã bán
(33)
Hà Nội",lazada,book,3,
Sách - Tĩnh Lặng - Thaihabooks,52.440 ₫,https://www.lazada.vn/products/sach-tinh-lang-thaihabooks-i622386875.html,4,4,24% Off,"355 Đã bán
(59)
Hồ Chí Minh",lazada,book,4,Official
Sách - The Outsider - Kẻ Song Trùng - Stephen King,237.300 ₫,https://www.lazada.vn/products/sach-the-outsider-ke-song-trung-stephen-king-i2280952008.html,5,5,30% Off,"24 Đã bán
(8)
Hồ Chí Minh",lazada,book,5,Official
Sách Chuẩn Bị Bài Nói Chuyện Từ Trang Giấy Trắng,102.000 ₫,https://www.lazada.vn/products/sach-chuan-bi-bai-noi-chuyen-tu-trang-giay-trang-i2616873658.html,6,6,,"(1)
Hà Nội",lazada,book,6,Official
Sách - Thư cho em (Hoàng Nam Tiến) (Nhã Nam HCM),114.800 ₫,https://www.lazada.vn/products/sach-thu-cho-em-hoang-nam-tien-nha-nam-hcm-i2596980837.html,7,7,18% Off,"58 Đã bán
(6)
Hồ Chí Minh",lazada,book,7,Official
Sách - Kỷ luật bản thân,132.300 ₫,https://www.lazada.vn/products/sach-ky-luat-ban-than-i1945478952.html,8,8,30% Off,"127 Đã bán
(27)
Hà Nội",lazada,book,8,Official
Sách NXB Trẻ - NHỮNG BỨC DI THƯ THÀNH CỔ,104.000 ₫,https://www.lazada.vn/products/sach-nxb-tre-nhung-buc-di-thu-thanh-co-i2003911865.html,9,9,20% Off,"17 Đã bán
(2)
Đà Nẵng",lazada,book,9,
Sách -Luật Tâm Thức,70.000 ₫,https://www.lazada.vn/products/sach-luat-tam-thuc-i2212574113.html,10,10,50% Off,"118 Đã bán
(28)
Hà Nội",lazada,book,10,
Sách - Liễu phàm tứ huấn - Thaihabooks,44.840 ₫,https://www.lazada.vn/products/sach-lieu-pham-tu-huan-thaihabooks-i622412410.html,11,11,24% Off,"463 Đã bán
(76)
Hồ Chí Minh",lazada,book,11,Official
Sống Đơn Giản Cho Mình Thanh Thản,64.600 ₫,https://www.lazada.vn/products/song-don-gian-cho-minh-thanh-than-i451990233.html,12,12,24% Off,"204 Đã bán
(38)
Hồ Chí Minh",lazada,book,12,Official
Sách - Quân Vương (Nhã Nam HCM),55.760 ₫,https://www.lazada.vn/products/sach-quan-vuong-nha-nam-hcm-i1940145457.html,13,13,18% Off,"161 Đã bán
(47)
Hồ Chí Minh",lazada,book,13,Official
[HCM]Bồi Dưỡng Học Sinh Giỏi Tiếng Anh Lớp 9 Theo Chuyên Đề,67.000 ₫,https://www.lazada.vn/products/hcmboi-duong-hoc-sinh-gioi-tieng-anh-lop-9-theo-chuyen-de-i631206746.html,14,14,38% Off,"20 Đã bán
(4)
Hồ Chí Minh",lazada,book,14,Official
Combo 2 Cuốn Sức Khỏe Trong Tay Bạn,159.600 ₫,https://www.lazada.vn/products/combo-2-cuon-suc-khoe-trong-tay-ban-i622398550.html,15,15,24% Off,"74 Đã bán
(18)
Hồ Chí Minh",lazada,book,15,Official
Kỷ luật bản thân - Peg Dawson & Richard Guare (1980BOOKS HCM),132.300 ₫,https://www.lazada.vn/products/ky-luat-ban-than-peg-dawson-richard-guare-1980books-hcm-i2074021523.html,16,16,30% Off,"49 Đã bán
(13)
Hồ Chí Minh",lazada,book,16,Official
Cuốn sách Giáo Trình Hán Ngữ 4 - Tập 2 Quyển Hạ (Phiên Bản Mới - App),76.000 ₫,https://www.lazada.vn/products/cuon-sach-giao-trinh-han-ngu-4-tap-2-quyen-ha-phien-ban-moi-app-i1236475841.html,17,17,28% Off,"38 Đã bán
(9)
Hà Nội",lazada,book,17,
Sách - Lũ trẻ đường tàu (Nhã Nam HCM),69.700 ₫,https://www.lazada.vn/products/sach-lu-tre-duong-tau-nha-nam-hcm-i2368442166.html,18,18,18% Off,"19 Đã bán
(6)
Hồ Chí Minh",lazada,book,18,Official
Sách - Nước Ép Trị Liệu Và Chế Độ Ăn Theo Phương Pháp Cơ Thể Tự Chữa Lành,139.300 ₫,https://www.lazada.vn/products/sach-nuoc-ep-tri-lieu-va-che-do-an-theo-phuong-phap-co-the-tu-chua-lanh-i2224913706.html,19,19,30% Off,"13 Đã bán
(2)
Hà Nội",lazada,book,19,Official
Sách - Gi Gỉ Gì Gi Cái Gì Cũng Biết - Dành Cho Lớp 2 (Nhã Nam HCM),89.380 ₫,https://www.lazada.vn/products/sach-gi-gi-gi-gi-cai-gi-cung-biet-danh-cho-lop-2-nha-nam-hcm-i1448452339.html,20,20,18% Off,"24 Đã bán
(4)
Hồ Chí Minh",lazada,book,20,Official
SÁCH - Chủ Nghĩa Khắc Kỷ - Phong Cách Sống Bản Lĩnh Và Bình Thản - Thaihabooks,113.240 ₫,https://www.lazada.vn/products/sach-chu-nghia-khac-ky-phong-cach-song-ban-linh-va-binh-than-thaihabooks-i566524625.html,21,21,24% Off,"402 Đã bán
(76)
Hồ Chí Minh",lazada,book,21,Official
Sách - Chú bé mang pyjama sọc (TB 2023) (Nhã Nam HCM),64.780 ₫,https://www.lazada.vn/products/sach-chu-be-mang-pyjama-soc-tb-2023-nha-nam-hcm-i2179864063.html,22,22,18% Off,"256 Đã bán
(67)
Hồ Chí Minh",lazada,book,22,Official
Sách - Người tình Sputnik (TB 2021) (Nhã Nam HCM),70.520 ₫,https://www.lazada.vn/products/sach-nguoi-tinh-sputnik-tb-2021-nha-nam-hcm-i1501408528.html,23,23,18% Off,"112 Đã bán
(27)
Hồ Chí Minh",lazada,book,23,Official
Cây Brooklyn xanh biếc - Betty Smith (1980BOOKS HCM),188.300 ₫,https://www.lazada.vn/products/cay-brooklyn-xanh-biec-betty-smith-1980books-hcm-i2092045358.html,24,24,30% Off,"21 Đã bán
(6)
Hồ Chí Minh",lazada,book,24,Official
Sách - Gieo trồng Hạnh Phúc - Thaihabooks,67.640 ₫,https://www.lazada.vn/products/sach-gieo-trong-hanh-phuc-thaihabooks-i622380858.html,25,25,24% Off,"255 Đã bán
(35)
Hồ Chí Minh",lazada,book,25,Official
Khiêu Vũ Với Ngòi Bút,110.200 ₫,https://www.lazada.vn/products/khieu-vu-voi-ngoi-but-i622444028.html,26,26,24% Off,"77 Đã bán
(13)
Hồ Chí Minh",lazada,book,26,Official
Sách - Quái vật trong quán đồ nướng (Nhã Nam HCM),129.560 ₫,https://www.lazada.vn/products/sach-quai-vat-trong-quan-do-nuong-nha-nam-hcm-i2371875334.html,27,27,18% Off,"25 Đã bán
(9)
Hồ Chí Minh",lazada,book,27,Official
Sách Phụ Nữ Hơn Nhau Ở Khí Chất (Tái Bản),50.000 ₫,https://www.lazada.vn/products/sach-phu-nu-hon-nhau-o-khi-chat-tai-ban-i2383768518.html,28,28,50% Off,"11 Đã bán
(3)
Hà Nội",lazada,book,28,
Sách - Điều Đẹp Nhất Có Khi Là Buông Tay,57.500 ₫,https://www.lazada.vn/products/sach-dieu-dep-nhat-co-khi-la-buong-tay-i2098124947.html,29,29,20% Off,"9 Đã bán
(1)
Hà Nội",lazada,book,29,Official
