title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,official_idx,official
"Laptop HP chíp I5 đời cao, ram 4G, ổ SSD 120G, màn 15.6 inch, phù hợp dùng văn phòng, học tập, giải trí, tặng kèm chuột không dây",2.550.000 ₫,https://www.lazada.vn/products/laptop-hp-chip-i5-doi-cao-ram-4g-o-ssd-120g-man-156-inch-phu-hop-dung-van-phong-hoc-tap-giai-tri-tang-kem-chuot-khong-day-i1616536211.html,5,5,15% Off,Hà Nội,lazada,5,
DELL XPS 9365 CORE I7 -7Y75 RAM 16G SSD 512G 13.3INCH FHD TOUCH 360,8.820.000 ₫,https://www.lazada.vn/products/dell-xps-9365-core-i7-7y75-ram-16g-ssd-512g-133inch-fhd-touch-360-i2440636093.html,6,6,23% Off,"6 Đã bán
(1)
Hồ Chí Minh",lazada,6,
"Laptop HP Folio G1 Core M5-6Y54, 8gb ram, 256gb SSD 12.5” Full HD, vỏ nhôm nguyên khối siêu mỏng nhẹ 1kg",4.540.091 ₫,https://www.lazada.vn/products/laptop-hp-folio-g1-core-m5-6y54-8gb-ram-256gb-ssd-125-full-hd-vo-nhom-nguyen-khoi-sieu-mong-nhe-1kg-i1990909821.html,7,7,39% Off,"(1)
Hưng Yên",lazada,7,
Laptop xách tay giá rẻ lenovo Thinkpad X390 | I5 – 8265U | Ram 8GB | SSD 256GB | 13.3″ HD | Card On Pin 90%,6.000.000 ₫,https://www.lazada.vn/products/laptop-xach-tay-gia-re-lenovo-thinkpad-x390-i5-8265u-ram-8gb-ssd-256gb-133-hd-card-on-pin-90-i2627829085.html,8,8,,Hà Nội,lazada,8,
"Máy tính cũ Macb00k Pr0 retina 2017, 13inch core i7/ ram 16gb/ ssd 256gb pin ít lần sạc đẹp leng keng",9.999.000 ₫,https://www.lazada.vn/products/may-tinh-cu-macb00k-pr0-retina-2017-13inch-core-i7-ram-16gb-ssd-256gb-pin-it-lan-sac-dep-leng-keng-i2579230772.html,9,9,2% Off,Đồng Nai,lazada,9,
"Laptop HP Probook / Intel Core i5 ~ 2.4Ghz / Ram 8G / Ổ SSD 128G / Windows 10Pro / Chơi game, học tập, giải trí / Tặng kèm chuột + lót chuột",2.550.000 ₫,https://www.lazada.vn/products/laptop-hp-probook-intel-core-i5-24ghz-ram-8g-o-ssd-128g-windows-10pro-choi-game-hoc-tap-giai-tri-tang-kem-chuot-lot-chuot-i865448194.html,10,10,20% Off,"29 Đã bán
(7)
Hà Nội",lazada,10,
Máy tính cũ MAcb000k đời 2015 13.3in i5 ram 8gb ssd 256gb pin good 3-4h,5.599.999 ₫,https://www.lazada.vn/products/may-tinh-cu-macb000k-doi-2015-133in-i5-ram-8gb-ssd-256gb-pin-good-3-4h-i2429302231.html,11,11,2% Off,"(1)
Đồng Nai",lazada,11,
Laptop Lenovo Legion 5 Pro 16IAH7H 82RF0046VN (Core i7-12700H | 16GB | 512GB | RTX 3060 6GB | 16 inch WQXGA 165Hz | Win 11 | Trắng),35.280.000 ₫,https://www.lazada.vn/products/laptop-lenovo-legion-5-pro-16iah7h-82rf0046vn-core-i7-12700h-16gb-512gb-rtx-3060-6gb-16-inch-wqxga-165hz-win-11-trang-i2480964641.html,12,12,25% Off,Hồ Chí Minh,lazada,12,
Vostro 15 Máy Tính Xách Tay 14 15.6 17.3 Túi Inch G7 17 Túi Lót Nam Nữ Chơi Game,289.205 ₫,https://www.lazada.vn/products/vostro-15-may-tinh-xach-tay-14-156-173-tui-inch-g7-17-tui-lot-nam-nu-choi-game-i2011526786.html,13,13,50% Off,Nước ngoài,lazada,13,
Apple Macbook Pro 14 inch chip M3 8C CPU /10C GPU/8GB RAM/512GB SSD,41.599.000 ₫,https://www.lazada.vn/products/apple-macbook-pro-14-inch-chip-m3-8c-cpu-10c-gpu8gb-ram512gb-ssd-i2530054913.html,14,14,,"7 Đã bán
Hồ Chí Minh",lazada,14,Official
"Xác Laptop EMachines , Pentum R ram 4G, Giá bán 800.000",800.000 ₫,https://www.lazada.vn/products/xac-laptop-emachines-pentum-r-ram-4g-gia-ban-800000-i2292218921.html,15,15,,Tiền Giang,lazada,15,
"Laptop Dell Vostro 3750 Core i7 RAM 4GB, HDD 250GB 17.3inch hàng nhập khẩu + bộ quà tặng",2.428.000 ₫,https://www.lazada.vn/products/laptop-dell-vostro-3750-core-i7-ram-4gb-hdd-250gb-173inch-hang-nhap-khau-bo-qua-tang-i251075555.html,16,16,,"(1)
Hà Nội",lazada,16,
Laptop Lenovo ThinkPad X1 Yoga Gen 5 - Core i7-10510U RAM 16G SSD 512G Màn 14 Inch FHD Touch ( Bảo Hành 3 đến 12 Tháng ),11.800.000 ₫,https://www.lazada.vn/products/laptop-lenovo-thinkpad-x1-yoga-gen-5-core-i7-10510u-ram-16g-ssd-512g-man-14-inch-fhd-touch-bao-hanh-3-den-12-thang-i2626647647.html,17,17,,Hồ Chí Minh,lazada,17,
Laptop mini Pocket P8,9.800.000 ₫,https://www.lazada.vn/products/laptop-mini-pocket-p8-i2542887458.html,18,18,,Hà Nội,lazada,18,
Laptop Lenovo T420 Core i5 2520M Ram 4GB 500GB 14inch,2.272.500 ₫,https://www.lazada.vn/products/laptop-lenovo-t420-core-i5-2520m-ram-4gb-500gb-14inch-i1892385843.html,19,19,50% Off,"(1)
Hồ Chí Minh",lazada,19,
Laptop Lenovo Legion Y7000 | Intel Core i7-8750H | Ram 16GB | SSD 256GB + HDD 1TB| VGA NVIDIA GeForce GTX 1060 6GB | 15.6 inch FHD IPS,11.392.500 ₫,https://www.lazada.vn/products/laptop-lenovo-legion-y7000-intel-core-i7-8750h-ram-16gb-ssd-256gb-hdd-1tb-vga-nvidia-geforce-gtx-1060-6gb-156-inch-fhd-ips-i2503343394.html,20,20,,Hồ Chí Minh,lazada,20,
[HCM] Laptop Cũ Dell Inspiron N4030 CPU Core I3-M380/ Ram 4GB/ HDD 500GB/ VGA Intel HD Graphics/ LCD 14.0'' inch. Cắm sạc trực tiếp vào máy xài,1.530.000 ₫,https://www.lazada.vn/products/hcm-laptop-cu-dell-inspiron-n4030-cpu-core-i3-m380-ram-4gb-hdd-500gb-vga-intel-hd-graphics-lcd-140-inch-cam-sac-truc-tiep-vao-may-xai-i2611194041.html,21,21,,Hồ Chí Minh,lazada,21,
"Laptop Asus Zenbook UM431 R7-3700U, 16gb Ram, 512gb SSD, 14inch Full HD IPS, vỏ nhôm cao cấp",6.300.000 ₫,https://www.lazada.vn/products/laptop-asus-zenbook-um431-r7-3700u-16gb-ram-512gb-ssd-14inch-full-hd-ips-vo-nhom-cao-cap-i1403638898.html,22,22,10% Off,"8 Đã bán
(1)
Hưng Yên",lazada,22,
Laptop Asus X451 / Intel Core i3 3217U 1.8Ghz / Ram 4G / Ổ cứng SSD 120G / Intel HD Graphics / Màn hình 14 inch HD / Tặng kèm chuột và lót chuột,2.350.000 ₫,https://www.lazada.vn/products/laptop-asus-x451-intel-core-i3-3217u-18ghz-ram-4g-o-cung-ssd-120g-intel-hd-graphics-man-hinh-14-inch-hd-tang-kem-chuot-va-lot-chuot-i734064995.html,23,23,16% Off,"(2)
Hà Nội",lazada,23,
"[Trả góp 0%]Panasonic CF-SZ5 Core i5 6300U Ram 4G SSD 128G 12.5""",5.310.000 ₫,https://www.lazada.vn/products/tra-gop-0panasonic-cf-sz5-core-i5-6300u-ram-4g-ssd-128g-125-i868198535.html,24,24,10% Off,"(1)
Hồ Chí Minh",lazada,24,
Laptop Dell ram 3Gb rom 256Gb màn hình 14 inch đầy đủ phụ kiện bảo hành 1 năm (đã sử dụng),1.815.491 ₫,https://www.lazada.vn/products/laptop-dell-ram-3gb-rom-256gb-man-hinh-14-inch-day-du-phu-kien-bao-hanh-1-nam-da-su-dung-i2634441294.html,25,25,9% Off,Hồ Chí Minh,lazada,25,
"Lenovo Máy tính xách tay Laptop Gaming Intel Core i7 10510U Laptop RAM12/16GB SSD 256GB/512GB/1TB Chơi Valorant GTA V Hỗ trợ Gập 180 độ 15,6 inch Bảo hành 2 năm",6.660.499 ₫,https://www.lazada.vn/products/lenovo-may-tinh-xach-tay-laptop-gaming-intel-core-i7-10510u-laptop-ram1216gb-ssd-256gb512gb1tb-choi-valorant-gta-v-ho-tro-gap-180-do-156-inch-bao-hanh-2-nam-i2402914550.html,26,26,56% Off,"152 Đã bán
(44)
Hải Phòng",lazada,26,
Lenono Ideapad 3 i7 1255U 16/1T BH 9/25 SẠC 32 LẦN,11.500.000 ₫,https://www.lazada.vn/products/lenono-ideapad-3-i7-1255u-161t-bh-925-sac-32-lan-i2627829208.html,27,27,,Hồ Chí Minh,lazada,27,
Laptop Asus Vivobook Go 15 E1504FA-NJ454W (AMD Ryzen 5-7520U) (Bạc) - Bảo hành 24 tháng,13.739.000 ₫,https://www.lazada.vn/products/laptop-asus-vivobook-go-15-e1504fa-nj454w-amd-ryzen-5-7520u-bac-bao-hanh-24-thang-i2555362016.html,28,28,5% Off,Hồ Chí Minh,lazada,28,
Máy Tính Xách Tay MacBook Pro 16 inch M1 Max 10C CPU/24 GPU | 32GB/ 2TB SSD XÁM (SPACE GREY),93.400.000 ₫,https://www.lazada.vn/products/may-tinh-xach-tay-macbook-pro-16-inch-m1-max-10c-cpu24-gpu-32gb-2tb-ssd-xam-space-grey-i2646963513.html,29,29,,Hồ Chí Minh,lazada,29,Official
"Máy tính bảng 2 tromg 1 HP Pro X2 Core i5-7Y54, 8gb ram, 256gb SSD, màn 12inch Full HD cảm ứng vỏ nhôm sang trọng",3.996.080 ₫,https://www.lazada.vn/products/may-tinh-bang-2-tromg-1-hp-pro-x2-core-i5-7y54-8gb-ram-256gb-ssd-man-12inch-full-hd-cam-ung-vo-nhom-sang-trong-i2561841235.html,30,30,9% Off,Hưng Yên,lazada,30,
"[HCM]LAPTOP Lenovo Thinkpad X1 Carbon Gen 2, Core i5 4300U, Ram 8GB, SSD 256GB, Màn 14inch",4.400.000 ₫,https://www.lazada.vn/products/hcmlaptop-lenovo-thinkpad-x1-carbon-gen-2-core-i5-4300u-ram-8gb-ssd-256gb-man-14inch-i2446220346.html,31,31,,Hồ Chí Minh,lazada,31,
Laptop cũ giá rẻ,2.000.000 ₫,https://www.lazada.vn/products/laptop-cu-gia-re-i1951496322.html,32,32,50% Off,"8 Đã bán
(3)
Hồ Chí Minh",lazada,32,
[Hàng Likenew 99% BH 1 Năm] Laptop Gaming Acer Nitro A515-54 Core i5 9300H/ Ram 32Gb/ GTX 1650 4Gb/ SSD Mvme 256Gb + 1 TB/ 15.6'' IPS FHD .,11.950.000 ₫,https://www.lazada.vn/products/hang-likenew-99-bh-1-nam-laptop-gaming-acer-nitro-a515-54-core-i5-9300h-ram-32gb-gtx-1650-4gb-ssd-mvme-256gb-1-tb-156-ips-fhd-i2396749302.html,33,33,,Nghệ An,lazada,33,
LAPTOP HỌC SINH CẤP 3 ĐẦY ĐỦ PHỤ KIỆN CHÍNH HÃNG (BẢO HÀNH 1 NẮM),1.815.491 ₫,https://www.lazada.vn/products/laptop-hoc-sinh-cap-3-day-du-phu-kien-chinh-hang-bao-hanh-1-nam-i2634393664.html,34,34,9% Off,Hồ Chí Minh,lazada,34,
Laptop hp Compaq 510 C2D ram 4G màn hình 14 inch học tập giải trí ok (BH 1 năm),1.807.318 ₫,https://www.lazada.vn/products/laptop-hp-compaq-510-c2d-ram-4g-man-hinh-14-inch-hoc-tap-giai-tri-ok-bh-1-nam-i2634489345.html,35,35,9% Off,Hồ Chí Minh,lazada,35,
"Laptop Dell Precision 7520 Core i7-6820HQ, Ram 32GB, SSD 256GB, 15.6 Inch FHD, Nvidia Quadro M2200",7.800.000 ₫,https://www.lazada.vn/products/laptop-dell-precision-7520-core-i7-6820hq-ram-32gb-ssd-256gb-156-inch-fhd-nvidia-quadro-m2200-i2398476853.html,36,36,35% Off,"(1)
Hồ Chí Minh",lazada,36,
"Máy tính xách tay Asus i7/J4125 sổ ghi chép phiên bản sang trọng 15,6 -inch máy tính xách tay màu hồng Máy tính xách tay SSD 512GB/1TB Máy ảnh được xây dựng Window10/11 chạy trơn tru",7.699.999 ₫,https://www.lazada.vn/products/may-tinh-xach-tay-asus-i7j4125-so-ghi-chep-phien-ban-sang-trong-156-inch-may-tinh-xach-tay-mau-hong-may-tinh-xach-tay-ssd-512gb1tb-may-anh-duoc-xay-dung-window1011-chay-tron-tru-i2034062366.html,37,37,14% Off,"124 Đã bán
(27)
Hồ Chí Minh",lazada,37,
"Laptop MSI MODERN 14 B11MOU i7 11th Gen Ram 8G SSD 512G 14"" FHD",8.500.000 ₫,https://www.lazada.vn/products/laptop-msi-modern-14-b11mou-i7-11th-gen-ram-8g-ssd-512g-14-fhd-i2562353288.html,38,38,32% Off,Hồ Chí Minh,lazada,38,
Asus X571 Core i5 8300H Ram 16G SSD 512G 15.6inch GIÁ RẺ,7.200.000 ₫,https://www.lazada.vn/products/asus-x571-core-i5-8300h-ram-16g-ssd-512g-156inch-gia-re-i2408101948.html,39,39,31% Off,"(0)
Hồ Chí Minh",lazada,39,
Lenovo Thinkpad X1 Carbon Gen 7 | Core i7-8665U | Ram 16GB | SSD 256GB PCle | 14'' FHD IPS Cảm ứng,10.357.500 ₫,https://www.lazada.vn/products/lenovo-thinkpad-x1-carbon-gen-7-core-i7-8665u-ram-16gb-ssd-256gb-pcle-14-fhd-ips-cam-ung-i2483662741.html,40,40,,Hồ Chí Minh,lazada,40,
